Currency,Component,Description,Vendor,Product Link,Unit Price (CAD),Quantity,Total (CAD),Status,Notes
CAD,7-Inch Touch Display,Waveshare 7-inch touchscreen display,Waveshare,https://www.waveshare.com/70h-1024600.htm?sku=22684,77.97,1,77.97,Not Purchased,
CAD,Portable Speaker,Portable rechargeable speaker,Amazon,https://www.amazon.ca/Portable-Speaker-Rechargeable-External-Computer/dp/B0BW6DFBB9,23.56,1,23.56,Not Purchased,
CAD,USB Microphone,Mini USB desktop microphone,Amazon,https://www.amazon.ca/Mini-Microphone-Skype-Desktop-Laptop/dp/B076BC2Y3W,7.95,1,7.95,Not Purchased,
CAD,USB Power Distribution Board,USB power distribution module,Amazon,https://www.amazon.ca/Expansion-Module-Button-Control-Distribution/dp/B0DP8MHZZZ,19.84,1,19.84,Not Purchased,
CAD,5V 10A Power Adapter,AC to 5V DC power adapter,Amazon,https://www.amazon.ca/Henxlco-AC100-240V-Converter-Transformer-Light%EF%BC%8CCCTV/dp/B0DYHCD21G,21.99,1,21.99,Not Purchased,
CAD,LCD Adhesive,Adhesive for securing LCD/touchscreen,Amazon,https://www.amazon.ca/Adhesive-Touchscreen-Digitizer-Professional-Tweezers/dp/B00PW0E766,8.99,1,8.99,Not Purchased,
CAD,Micro USB Cable,Short Micro USB cable,Amazon,https://www.amazon.ca/SUNGUY-3-Pack-Braided-Charging-Galaxy/dp/B0BHNVLW1Z,11.99,1,11.99,Not Purchased,
CAD,Raspberry Pi Heat Sink,Raspberry Pi active cooler/heatsink,Amazon,https://www.amazon.ca/Raspberry-Pi-Active-Cooler/dp/B0CLXZBR5P,15.13,1,15.13,Not Purchased,
CAD,3D Printed Enclosure,3D printing service / enclosure,Printing Legion,,13.91,1,13.91,Not Purchased,$10 USD
CAD,HDMI,Thin display cable,Amazon,https://www.amazon.ca/gp/product/B0F1TBPPPN,15.99,1,15.99,Not Purchased,
CAD,Shipping,Estimated shipping cost,,,,48.30,1,48.30,Not Purchased,$35 USD
CAD,TOTAL,,,,,,265.62,,
CAD,TOTAL WITH HST AND SHIPPING,,,,,,322.20,,
