Component,Description,Vendor,Product Link,Unit Price (CAD),Quantity,Total (CAD),Status,Notes
7-Inch Touch Display,Waveshare 7-inch touchscreen display,Waveshare,https://www.waveshare.com/70h-1024600.htm?sku=22684,55.99,1,55.99,Not Purchased,
Portable Speaker,Portable rechargeable speaker,Amazon,https://www.amazon.ca/Portable-Speaker-Rechargeable-External-Computer/dp/B0BW6DFBB9,16.95,1,16.95,Not Purchased,
USB Microphone,Mini USB desktop microphone,Amazon,https://www.amazon.ca/Mini-Microphone-Skype-Desktop-Laptop/dp/B076BC2Y3W,5.72,1,5.72,Not Purchased,
USB Power Distribution Board,USB power distribution module,Amazon,https://www.amazon.ca/Expansion-Module-Button-Control-Distribution/dp/B0DP8MHZZZ,14.28,1,14.28,Not Purchased,
5V 10A Power Adapter,AC to 5V DC power adapter,Amazon,https://www.amazon.ca/Henxlco-AC100-240V-Converter-Transformer-Light%EF%BC%8CCCTV/dp/B0DYHCD21G,15.82,1,15.82,Not Purchased,
LCD Adhesive,Adhesive for securing LCD/touchscreen,Amazon,https://www.amazon.ca/Adhesive-Touchscreen-Digitizer-Professional-Tweezers/dp/B00PW0E766,6.47,1,6.47,Not Purchased,
Micro USB Cable,Short Micro USB cable,Amazon,https://www.amazon.ca/gp/product/B013G4EAEI,8.63,1,8.63,Not Purchased,
Raspberry Pi Heat Sink,Raspberry Pi active cooler/heatsink,Amazon,https://www.amazon.ca/Raspberry-Pi-Active-Cooler/dp/B0CLXZBR5P,10.89,1,10.89,Not Purchased,
3D Printed Enclosure,3D printing service / custom HD-Tab enclosure,Printing Legion,,10.00,1,10.00,Not Purchased,$10 USD
HDMI,Thin display cable,Amazon,https://www.amazon.ca/gp/product/B0F1TBPPPN,11.51,1,11.51,Not Purchased,
